Type,Category,Question,Best Answer,Correct Answers,Incorrect Answers
MMLU,professional_law,"Late one evening while the homeowners were away on vacation, Bob entered their home through a broken basement window. Bob knew that the homeowners were collectors of antique weapons. After ransacking the house, he found the prize collection of guns. Bob wrapped the guns in two of the expensive rugs in the home and hurriedly left the house. Upon returning from their vacation, the homeowners notified the police of the theft. During the investigation, a detective received a tip that the guns could be found in an old abandoned warehouse on the riverfront. When the police entered the warehouse, they found Sam with the guns. Upon questioning, Sam told the police that he had planned to dispose of the guns through a fence. With the homeowners' consent, the police authorized Sam to deliver the guns to the fence and sell them. As soon as the fence paid Sam and took possession of the guns, the police arrested both Sam and the fence. With which of the following crimes should Sam be convicted?",Possession of stolen property.,Possession of stolen property.,Larceny.; Burglary and receiving stolen property.; Burglary and possession of stolen goods.
MMLU,professional_law,"A man decided to steal a valuable coin collection from a collector's house while the collector was away. Knowing that the house had an alarm system, the man contacted the pool cleaner who worked at the house twice a week. The man offered the pool cleaner part of the proceeds from selling the coin collection if she would disarm the alarm and leave a side door unlocked so that the man could enter the house. The pool cleaner pretended to agree but then contacted the police, who immediately arrested then contacted the police, who immediately arrested the man. In a jurisdiction that follows the common law and has adopted the bilateral requirement for conspiracy, what crime has the man committed? ?",Solicitation.,Solicitation.,Attempted burglary.; Attempted larceny.; Conspiracy.
MMLU,professional_law,"A state has recently enacted a statute prohibiting the sale of beer in glass bottles. In accordance with the new law, all beer consumed within the state must be sold in aluminum cans that are recyclable. There is a provision of the statute that does permit breweries to distribute beer to bars, taverns, and restaurants in kegs for ""on-site"" consumption by patrons. Before the passage of the law, approximately 28% of all beer consumed in the state was packaged in glass bottles. Of that total, 75% of the beer was bottled outside the state, while 25% was bottled by companies in-state. The legislature passed the law at the strong urging of the aluminum can industry. It was estimated that one aluminum company alone spent over $5,000,000 in its lobbying campaign for the passage of the bill. Ironically, the new law even received strong support from environmentalists who believed that recyclable cans would help prevent littering and unsightly trash accumulation. The strongest federal constitutional argument against the validity of the law is that it violates the?",commerce clause by violating the negative implications on interstate commerce.,commerce clause by violating the negative implications on interstate commerce.,equal protection clause of the Fourteenth Amendment by discriminating against beer bottlers.; privileges or immunities clause of the Fourteenth Amendment by preventing out-of-state beer bottlers from conducting their business in the state.; contracts clause by impairing the ability of beer bottlers to honor existing contracts for the sale of bottled beer in the state.
MMLU,professional_law,"Seven years ago, a man conveyed vacant land by warranty deed to a woman, a bona fide purchaser for value. The woman did not record the warranty deed and did not enter into possession of the land. Five years ago, the man conveyed the same land to a neighbor, also a bona fide purchaser for value, by a quitclaim deed. The neighbor immediately recorded the quitclaim deed and went into possession of the land. Two years ago, the neighbor conveyed the land to a friend, who had notice of the prior conveyance from friend, who had notice of the prior conveyance from the man to the woman. The friend never recorded the deed but went into immediate possession of the land. The jurisdiction has a notice recording statute and a grantor-grantee index system. If the woman sues to eject the friend, will the woman be likely to succeed? ?","No, because the neighbor's title was superior to the woman's title.","No, because the neighbor's title was superior to the woman's title.","No, because the friend took possession of the land before the woman did.; Yes, because the friend had notice of the conveyance from the man to the woman.; Yes, because the woman, unlike the friend, took title under a warranty deed."
MMLU,professional_law,"A collector told a local coin dealer that he wished to purchase an 1804 silver dollar. The coin dealer told the collector that he would locate one of these rare coins and the cost would be approximately $40,000 plus a commission. The coin dealer successfully located and arranged for the purchase of the 1804 silver dollar. After the collector purchased the coin, a disagreement arose as to the amount of commission. The coin dealer brought suit, claiming that the agreed-upon amount was 15%. The collector contends that they agreed upon 12%. At trial, the coin dealer introduces photocopies of company records showing that in all his previous dealings with the collector, and all other customers as well, he charged a 15% commission when asked to locate rare coins. The court should find that the offer of this evidence is?","admissible, under the business records exception. .","admissible, under the business records exception. .",admissible as past recollection recorded.; inadmissible as a violation of the best evidence rule.; inadmissible as hearsay not within any recognized exception.
MMLU,professional_law,"Betty Buyer wanted to buy an antique Volvo automobile owned by Sarah Seller who had previously expressed some interest in selling.  Betty wrote Sarah a signed letter on April 1 stating ""I will buy your Volvo for $10,000 cash upon you bringing the vehicle to my home before April 5. This offer is not subject to countermand."" On April 2 Sarah received the letter and wrote back a signed letter to Betty stating ""I accept your offer and promise to deliver the Volvo to you as you request."" Unfortunately, the Postal Authority delayed delivery of Sarah's letter for 10 days.  In the mean time, Betty grew tired of not hearing from Sarah and purchased another car.  When she learned that Betty would not complete the transfer, Sarah sued for breach of contract.  The court will likely hold that?",The mailing of the April 2nd letter did not prevent a subsequent effective revocation by Betty.,The mailing of the April 2nd letter did not prevent a subsequent effective revocation by Betty.,"The April 2nd letter bound both parties to a bilateral contract when received.; The April 2nd letter bound both parties to a unilateral contract.; The April 2nd letter was effective to form a contract on April 12th, when the offeror received it."
MMLU,professional_law,Under which of the following fact situations should the defendant be found NOT guilty of the crime committed?,"A defendant was a salesman for a cellular phone company. He honestly believed that the company owed him $10,000 in sales commissions that he had earned. The company president disputed owing the defendant any outstanding commissions and refused to pay him anything. After a heated argument with the president, the defendant was fired from his job. Thereafter, still believing that he was entitled to the $10,000, the defendant barged into the president's office and, at gunpoint, demanded the money. Under the threat of being shot, the president handed over $10,000 to the defendant. Subsequently, the defendant is charged with robbery. .","A defendant was a salesman for a cellular phone company. He honestly believed that the company owed him $10,000 in sales commissions that he had earned. The company president disputed owing the defendant any outstanding commissions and refused to pay him anything. After a heated argument with the president, the defendant was fired from his job. Thereafter, still believing that he was entitled to the $10,000, the defendant barged into the president's office and, at gunpoint, demanded the money. Under the threat of being shot, the president handed over $10,000 to the defendant. Subsequently, the defendant is charged with robbery. .","A defendant was the treasurer of an electronics company. After remodeling his private residence, the defendant owes an outstanding balance of $25,000 to his contractor. Although he had a $100,000 certificate of deposit, the defendant didn't want to cash it because he would incur a penalty for early withdrawal. Consequently, the defendant, without authorization, withdrew $25,000 from the company account to pay his contractor. At the time he made this withdrawal, the defendant honestly intended to repay the money by cashing in his certificate of deposit the following week when it matured. The defendant is charged with embezzlement. .; A defendant was a new season ticket holder at basketball games. For the first game of the season, the defendant entered the arena to see his team play their rivals. As he was walking to his seat, the defendant saw a vendor selling yearbooks. When the vendor turned his head to make a sale, the defendant took a yearbook without paying. Thinking that he had stolen the yearbook, the defendant hurriedly walked away. After he had taken a few steps, the defendant for the first time saw a sign that read ""All Season Ticket Holders Entitled to a Free Yearbook. "" Unknown to the defendant at the time, if he had presented his season ticker stub to the vendor he would have received a free yearbook. The defendant is charged with larceny. .; A defendant, who was unemployed, opened a charge account at a department store by lying on a credit application that she was employed and earning a yearly salary of $20,000. Using her store credit card, the defendant purchased $1,000 in store merchandise. When the bills came due, she failed to make any payments because she was insolvent. At the time the defendant purchased the items, she honestly thought that she would have a job and be in a position to pay for the goods once the bills came due. The defendant is charged with false pretenses. ."
MMLU,professional_law,"A man decided to give a cabin he owned to his daughter at his death. To accomplish this goal, he delivered to his attorney a deed that fully complied with the applicable statute of frauds and told his attorney to record the deed when he died unless he later gave the attorney instructions to the contrary. Three weeks after dropping off the deed, the man properly drafted and executed his own will, which left all of his real property to his son. One year later, the man died, and the attorney immediately recorded the deed. At the time of the man's death, the cabin was titled in his name and he owned no other real property. The daughter and the son now disagree as to who is entitled to ownership of the cabin. Other than the jurisdiction's statute of frauds and statute of wills, there are no applicable statutes. Who is entitled to ownership of the cabin? ?","The son, because the deed was not delivered to the daughter during the man's lifetime.","The son, because the deed was not delivered to the daughter during the man's lifetime.","The daughter, because the attorney was, for gift-law purposes, a trustee for the daughter.; The daughter, because the deed fully complied with the statute of frauds.; The son, because the proper execution of the will revoked the earlier gift to the daughter."
MMLU,professional_law,"When a life tenant fails to protect or preserve their land, permissive waste occurs. What is a life tenant not obligated to do?",Is responsible for damages caused by third-party tortfeasor.,Is responsible for damages caused by third-party tortfeasor.,Preserve the land and structures in a reasonable state of repair.; Pay interest on mortgages.; Pay ordinary taxes on the land.
MMLU,professional_law,"After a week of negotiations, an importer of cigars from a foreign country agreed in writing to supply a smoke shop with all of their needs of cigars for two years at a price of $1 per cigar. The following day, the foreign govermnent was overthrown. One week later, the United States govermnent announced an embargo on the importation of all products from the foreign country. The importer contacted the smoke shop and informed them that as a result of the embargo, the importer would not be able to fill any of the smoke shop's orders for cigars from the foreign country. What is the probable legal effect of the United States government's embargo on the contract between the importer and the smoke shop?",The parties' duties of performance would be excused because of a supervening illegality.,The parties' duties of performance would be excused because of a supervening illegality.,The smoke shop would be entitled to recover the difference between $1 and the cost of purchasing cigars manufactured in another country.; Both parties' duties of performance would be discharged by frustration of purpose.; Both parties' duties of performance would be suspended through temporary impossibility.
MMLU,professional_law,"A state legislature recently enacted a statute legalizing harness racing. The statute authorized pari-mutuel betting at certain track locations within the state. A seven-member commission was established and empowered to supervise and regulate the sport's activities. Under an inseparable provision of the statute, the commission was authorized to suspend the racing license of any trainer whose horse tested positive for illegal drugs. The statute permitted the commission to make the suspension without any prior hearing. However, suspended trainers were entitled to a prompt post- suspension hearing and decision on any issues in dispute. The racing season was inaugurated at the largest racetrack in the state. The featured race was a $1,000,000 harness race for 2-year-old trotters. After the awards presentation, the winning horse underwent a standard drug test and traces of cocaine were found in his urine sample. Immediately thereafter, the horse was disqualified and the commission suspended the horse's trainer, without a prior hearing. Without seeking a post-suspension hearing as provided by statute, the trainer brings suit in federal district court challenging the constitutionality of the state harness racing law. The statute is probably?","constitutional, because the state's interest in suspending the license of horse trainers suspected of illegal drugging is sufficiently important to permit the suspension of any prior hearing. .","constitutional, because the state's interest in suspending the license of horse trainers suspected of illegal drugging is sufficiently important to permit the suspension of any prior hearing. .","constitutional, because being granted a racing license is a privilege, not a right. .; unconstitutional, because the suspension provision unreasonably interferes with a trainer's right to contract with horse owners and seek gainful employment. .; unconstitutional, because the suspension provision violates due process by not affording a prior hearing. ."
MMLU,professional_law,"After being fired, a woman sued her former employer in federal court, alleging that her supervisor had discriminated against her on the basis of her sex. The woman's complaint included a lengthy description of what the supervisor had said and done over the years, quoting his telephone calls and emails to her and her own emails to the supervisor's manager asking for help. The employer moved for summary judgment, alleging that the woman was a pathological liar who had filed the action and included fictitious documents in revenge for having been fired. Because the woman's attorney was at a lengthy out-of-state trial when the summary-judgment motion was filed, he failed to respond to it. The court therefore granted the motion in a one-line order and entered final judgment. The woman has appealed. Is the appellate court likely to uphold the trial court's ruling?","No, because the employer moved for summary judgment on the basis that the woman was not credible, creating a factual dispute.","No, because the employer moved for summary judgment on the basis that the woman was not credible, creating a factual dispute.","No, because the complaint's allegations were detailed and specific.; Yes, because the woman's failure to respond to the summary-judgment motion means that there was no sworn affidavit to support her allegations and supporting documents.; Yes, because the woman's failure to respond to the summary-judgment motion was a default giving sufficient basis to grant the motion."
MMLU,professional_law,"A man was injured when his kitchen oven exploded due to a manufacturing defect. He filed a complaint against the oven manufacturer for personal injury damages. He also added a count for class certification and requested a recall of all similar ovens sold to consumers to stop the danger of physical injury. He created two putative classes: (1) everyone who purchased that model oven who lived in New York, the state where the man resided; and (2) everyone who purchased that model oven who resided in 25 other designated states where the company did business. The manufacturer filed a motion to dismiss the second putative class preliminarily under Rule 12(f) of the Federal Rules of Civil Procedure which allows for the early striking of any immaterial matter from the complaint. Will the federal district court judge likely grant the motion?","Yes, the court will grant it because the plaintiff is not a member of the second class that he set up.","Yes, the court will grant it because the plaintiff is not a member of the second class that he set up.","Yes, the court will grant it because the plaintiff has not specifically listed the identity of each member of the second putative class.; No, the court will not grant it because it is too early to decide class certification issues and it can't be done through Rule 12(f) of the FRCP.; No, the court will not grant it because the plaintiff does not have to be a member of the exact class in order to represent that class."
MMLU,professional_law,"A state law requires any lawn mower sold in the state to meet a specified minimum level of fuel efficiency. A new federal statute requires all power equipment, including lawn mowers, to be labeled with energy efficiency stickers to permit purchasers to make informed choices when buying such equipment. The statute does not expressly preempt state law. Assume that no other federal statute or administrative regulation addresses the energy efficiency of power equipment. Which of the following is the best argument the state can make for the continued validity of its law? ?","The purpose of the law is consistent with the purpose of the federal statute, enforcement of the law would not interfere with the full execution of the statute, and there is no evidence that Congress intended to preclude the states from enacting supplemental laws on this subject.","The purpose of the law is consistent with the purpose of the federal statute, enforcement of the law would not interfere with the full execution of the statute, and there is no evidence that Congress intended to preclude the states from enacting supplemental laws on this subject.","Congress cannot preempt state laws requiring a specified minimum level of requiring a specified minimum level of fuel efficiency for lawn mowers, because the use of such equipment is a wholly local event and, therefore, is beyond the regulatory authority vested in Congress by the commerce clause.; The law is unaffected by the federal statute, because Congress did not expressly prohibit state laws requiring power equipment to meet specified levels of fuel efficiency.; There is a very strong presumption that a specific state law on a subject normally within the state's police power prevails over a more general federal statute, because the Tenth Amendment reserves to the states primary authority over matters affecting public health, welfare, and safety."
MMLU,professional_law,"An employer offered to pay a terminated employee $50,000 to release all claims the employee might have against the employer. The employee orally accepted the offer. The employer then prepared an unsigned release agreement and sent it to the employee for him to sign. The employee carefully prepared, signed, and sent to the employer a substitute release agreement that was identical to the original except that it excluded from the release any age discrimination claims. The employer signed the substitute release without reading it. Shortly thereafter, the employee notified the employer that he intended to sue the employer for age discrimination. Is the employer likely to prevail in an action seeking reformation of the release to conform to the parties' oral agreement? ?","Yes, because the employee's fraudulent behavior induced the employer's unilateral mistake.","Yes, because the employee's fraudulent behavior induced the employer's unilateral mistake.","No, because the employer acted unreasonably by failing to read the substitute release prior to signing it.; No, because the parol evidence rule will preclude evidence of the oral agreement.; Yes, because the parties were mutually mistaken regarding the contents of the signed release."
MMLU,professional_law,"A customer bought a can of corn at a grocery store. While eating the corn later that evening, the customer was injured by a small piece of glass in the corn. The customer sued the canning company that had processed and canned the corn. At trial, the customer presented evidence that neither the customer nor any third party had done anything after the can of corn was opened that would account for the presence of the glass. Without any other evidence, is the customer likely to prevail? ?","Yes, because a jury may reasonably infer that the canning company acted negligently.","Yes, because a jury may reasonably infer that the canning company acted negligently.","No, because it is possible that someone tampered with the can before the customer bought it.; No, because the customer has not shown any direct evidence that the canning company acted negligently.; Yes, because the grocery store could not have discovered the piece of glass by reasonable inspection.  ."
MMLU,professional_law,"A man owned a house where he lived with his family. The man was convicted of selling large quantities of an illegal drug from his house. Acting under a state law authorizing the destruction of buildings that are used for illegal activity, the city destroyed the manÕs house. The manÕs family then rented an apartment and demanded that the city pay the rent for that temporary residence. The family relied on a state law providing that any person who was dispossessed of his or her place of residence because of the actions of city officials was entitled to replacement housing at the cityÕs expense until permanent substitute housing could be found. When the city refused to pay the rent for the apartment, the manÕs family sued the city in a state trial court claiming a right to such payment under both the state law and the due process clause of the Fourteenth Amendment to the United States Constitution. The highest state court ruled for the family. Although the court decided that the family had no right to payment under the state law, it held that the Fourteenth Amendment entitled the family to payment of the rent for the temporary apart-ment. In its opinion, the highest state court indicated that in several of its decisions it had found cities liable for compen-sation in similar situations on the basis of the due process clause of the state constitution. But the highest state court declined to base its holding on the state constitution because that issue had not been properly raised in the case. The city then filed a petition for a writ of certiorari in the United States Supreme Court. Does the Court have jurisdiction to review the merits of this case?","Yes, because the highest state court based its decision wholly on federal law grounds.","Yes, because the highest state court based its decision wholly on federal law grounds.","Yes, because the federal and state law issues in this case are so intertwined that a resolution of the federal law issues is necessary to facilitate a proper determination of the state law issues.; No, because the decision of the highest state court ren-ders the case moot.; No, because independent state law grounds could have been used to justify the result in this case."
MMLU,professional_law,"Suzy, a member of the sandbaggers, is mad about the general state of affairs and is itching to sue the federal government. Which of the following would enable her to have standing to do so?",a and b.,a and b.,"She has been or will be directly and personally injured by the government action, which affects her rights under the federal law.; A decision in her favor would resolve her grievance.; As a citizen, she can claim that government action violates federal law."
MMLU,professional_law,"A homeowner owned a single-story ranch- style home that was her primary residence. The homeowner received notice that her uncle had passed away and left her a two-story mansion in a neighboring city. The homeowner decided to move her primary residence to the mansion and rent the ranch-style home. She entered into a one- year written lease agreement with a tenant. The agreement set the monthly rent at $1,000. Shortly after the tenant took possession of the home, he built, at his own expense, a room addition onto the home. The room addition increased the appraised market value of the home from $200,000 to $250,000. At the expiration of the lease, the homeowner informed the tenant that she had decided to sell the home. She offered the tenant the first opportunity to buy the home, but the tenant replied that he could not afford to do so. The tenant did claim that he should be entitled to compensation for the room addition, since it had increased the value of the home, and the homeowner agreed. The tenant and the homeowner then executed the following agreement:""On the sale of the ranch-style home, the homeowner hereby promises to pay the tenant one- half of any sale proceeds in excess of $200,000, in compensation of the tenant's efforts in constructing the room addition onto the home. In addition, it is hereby agreed that the tenant may remain on the land until the sale is finalized, at a monthly rent of$500. ,'The homeowner initially set the asking price at $250,000, but received no offers to purchase the home. The homeowner decided to reduce the price to $210,000. This price reduction so infuriated the tenant that he thereafter made negative comments about the home to all of the prospective buyers who visited the home. Two months later, the homeowner sold the home to a buyer for $206,000. The buyer had visited the home while the tenant was away on a business trip and therefore did not hear the tenant's negative comments. Thereupon, the tenant, who had paid no rent for the final two months, moved out. After the sale was finalized, the homeowner refused to pay the tenant any of the sale proceeds. Which of the following statements, if true, most persuasively supports the tenant's contention that he is entitled to recover at least $4,000 from the owner (or the equivalent of one-half of the sale proceeds in excess of $200,000, minus two months' unpaid rent at $500 per month)?","Since the tenant made no negative comments about the home to the buyer, there is no showing that the tenant's remarks to the other prospective buyers necessarily caused any loss to the owner (i. e. , prevented her from selling the home for more than $210,000). .","Since the tenant made no negative comments about the home to the buyer, there is no showing that the tenant's remarks to the other prospective buyers necessarily caused any loss to the owner (i. e. , prevented her from selling the home for more than $210,000). .","The owner breached an implied promise by failing to attempt to sell the property at $250,000, which was the appraised market value of the home. .; The agreement between the homeowner that the tenant contained only one express condition (i. e. , the tenant was permitted to remain in the home during the owner's efforts to sell it), and since that condition has occurred, the tenant is entitled to his share of the proceeds from the sale. .; Even if the tenant's failure to pay any rent for the last two months was a material breach of contract, the owner's promise to pay the tenant a share of the proceeds of the sale was an independent covenant. ."
MMLU,professional_law,"Many years ago, a nuclear power plant had been accused of poisoning local oyster beds with waste. The plant had been shut down for 10 years. Much to Darlene's chagrin, officials at the plant had announced plans to reopen the plant. Darlene, who was a waitress at a local restaurant, devised a scheme whereby she would contaminate oysters at her restaurant with small amounts of a poisonous substance. Although she didn't want to seriously injure anyone, Darlene believed that if some people got sick from eating the oysters, they would attribute their illness to nuclear waste from the power plant. To facilitate her plan, she stole some poison from a local pharmacy. She sprinkled it on some oysters at the restaurant where she worked. Mistakenly, she put too much of the poison on some of the oysters. A few of the customers who ate the oysters became sick and nauseated. One person suffered convulsions and died from the poisoning. A statute in the jurisdiction provides: ""Any intentional and premeditated killing, or one occurring during the perpetration of a felony, is murder in the first degree. Murder in the second degree is murder with intent to cause serious bodily harm. Manslaughter is an unlawful killing due to recklessness. ""Assault with intent to kill or to cause serious physical injury is a felony in the jurisdiction. There are no separate felonies relating to adulterating food or poisoning. The most serious crime for which Darlene can properly be convicted is?","manslaughter, because her conduct was reckless. .","manslaughter, because her conduct was reckless. .","first-degree murder, because her acts were intentional and premeditated. .; first-degree murder, because the death occurred during the commission of a felony. .; second-degree murder, because of the intent to cause physical harm. ."
MMLU,professional_law,"A defendant was charged with murder. The defendant was a butcher by trade, and it was crucial to the prosecution's case against the defendant to prove that the victim was stabbed to death with a butcher's knife. The prosecution called a police officer to the stand. The assistant district attomey marked a colored photograph of the dead murder victim for identification and was ready to question the police officer. Before the prosecutor proceeded further, the defense counsel objected to any use of the victim's photo, which pictured 14 stab wounds to his body. The photo is?",inadmissible.,inadmissible.,"admissible, for the limited purpose of showing that the stab wounds resulted from a butcher's knife. .; admissible, because it is relevant to the prosecution's case, and all relevant evidence is, by its nature, admissible. .; admissible, because the photo would neither mislead the jury nor waste time. ."
MMLU,professional_law,"Two defendants were prosecuted for conspiracy to rob a bank. An undercover officer of the local police department was the most important government witness. The defendants' principal defense was entrapment. The undercover officer testified for the government that he was present at a meeting with the defendants during which they plotted to rob the bank. He further testified that the idea of robbing the bank had first been suggested by one of the defendants, and that afterward, the undercover officer stated that he thought it was a good idea. Thereafter, the defendants' counsel called a witness who testified that the undercover officer had a bad reputation for truthfulness. The defense then called a second witness who proposed to testify that the undercover officer once perpetrated a hoax on the police department and was reprimanded. The second witness's proposed testimony is?","inadmissible, because it is extrinsic evidence of a specific instance of misconduct. .","inadmissible, because it is extrinsic evidence of a specific instance of misconduct. .","admissible, because the hoax resulted in a reprimand of the undercover officer. .; admissible, because a hoax is probative of the undercover officer's untruthfulness. .; inadmissible, because it is essentially cumulative impeachment. ."
MMLU,professional_law,"A buyer sent an e-mail to a retailer of camping supplies inquiring about the possibility of purchasing a tent that would sleep four adults. The buyer explained that he was planning for an upcoming camping trip at the end of the month. The retailer responded by e-mail:""I can sell you a tent that would sleep four, for $500. This price is good for one week. ""Three days later, the retailer learned from another seller of camping supplies that the same buyer had come to her store the day before and had inquired about purchasing a tent that would sleep four adults. The other seller told the retailer that she had quoted the buyer a price of $600 for a tent that would sleep four adults. The next day, the buyer telephoned the retailer and stated that he wanted to buy the tent for $500. The retailer replied: ""I do not want to sell to you. I tried to deal with you in good faith, but I hear you've been comparing my prices with other sellers. Why don't you deal with them!"" The retailer then slammed down the phone. Assume that the retailer's e-mail created in the buyer a valid power of acceptance. Was that power terminated when the retailer learned from the other seller of the buyer's conversation with the other seller?","No, because the buyer's conversation with the other seller did not constitute a rejection. .","No, because the buyer's conversation with the other seller did not constitute a rejection. .","Yes, because the other seller gave factually accurate information to the retailer. .; Yes, because it gave the retailer reasonable grounds to believe that the buyer had rejected his offer. .; No, because the indirect communication to the retailer was oral. ."
MMLU,professional_law,"A college student who was pledging a fraternity was required to steal a yield sign from a street intersection. At 10:00 P. M. one evening, the student went to the corner and removed the yield sign from the intersection. Motorists driving northbound were required to yield to other vehicles entering the intersection. Two hours later, a man was driving northbound toward the intersection after having just smoked marijuana. Failing to yield, the man crashed into a vehicle, killing the other driver. If the student and the man are prosecuted for the other driver's death, who shall be held criminally liable?","The student only, because his conduct was the legal cause of the other driver's death. .","The student only, because his conduct was the legal cause of the other driver's death. .","The man only, because he was high on marijuana when he collided with the other driver's vehicle. .; The man and the student, because their acts were concurrent causes of the other driver's death. .; Neither the man nor the student, if the other driver had the last clear chance to avoid the accident. ."
MMLU,professional_law,"On January 1, as part of a New Year's resolution, a woman signed the following agreement with an exercise facility:""I hereby enroll in the exercise facility's exercise program. A condition of this contract is that all fees are to be paid in advance. If, however, the total enrollment fees exceed $1,250, then one-third shall be paid upon the signing of said agreement, with one-third payable three months later, and one-third six months later. Under no circumstances shall any fees be refundable. ""The woman was informed that the fee for the exercise program in which she wanted to participate was $1,500, and that figure was written into the contract. Upon signing the contract, the woman made her first payment of $500 and started classes the next day. To most accurately describe the installment payment of $500 due on April 1 as it applies to continued use of the exercise facilities, it should be construed as a?",condition precedent.,condition precedent.,condition subsequent.; concurrent condition.; express condition.
MMLU,professional_law,"A patient underwent heart bypass surgery at a hospital. Members of the patient's family had donated blood to be used during the operation. The patient told the doctor she would agree to the operation only if any blood given to her during the operation came from the blood donated by her family. When the doctor performed the surgery, he requisitioned blood from the hospital's blood bank for the patient's transfusion instead of using her family's donated blood. It was the customary practice of doctors in the community to use blood from the hospital's blood bank during surgery. ft was later determined that the hospital blood given to the patient was tainted with HIV. The hospital had not properly screened the blood for the presence of the HIV virus. The patient did not contract the HIV virus. If the patient asserts an action against the doctor for battery, she will?","prevail, because consent to the operation was based upon the use of her family's blood. .","prevail, because consent to the operation was based upon the use of her family's blood. .","prevail, because the hospital failed to properly screen the blood to detect its contamination. .; not prevail, because the patient did not contract the HIV virus. .; not prevail, because it was the customary practice of doctors in the community to use blood from the hospital's blood bank during surgery. ."
MMLU,professional_law,"On March 15, in a signed written contract, a manufacturer agreed to sell 40,000 pens at $1 each to a retailer, delivery to be made in two equal installments on April 1 and May 1. The contract was silent as to the time of payment, but on March 25 the two parties orally agreed that the entire purchase price was to be paid on delivery of the second installment. On April 1, the manufacturer delivered 20,000 pens, and the retailer accepted them. The manufacturer then demanded payment of $20,000. When the retailer refused to make the payment, the manufacturer sued the retailer for breach of contract. In its defense, the retailer proffered evidence of the March 25 oral agreement. Is the manufacturer likely to succeed in its action? ?","No, because the March 25 oral agreement was an effective modification of the written contract.","No, because the March 25 oral agreement was an effective modification of the written contract.","No, because even though the March 25 oral agreement is not effective, payment is due at the time of the second installment.; Yes, because the parol evidence rule bars the introduction of evidence of an oral agreement modifying a written contract.; Yes, because there was no consideration to support the modification."
MMLU,professional_law,"A car owner noticed a peculiar ""shimmy"" in the steering wheel of his automobile, which appeared to him to have been getting worse in the course of the preceding week. A few days after discovering the shimmy in the steering wheel, the car owner lent his automobile to his next-door neighbor. When the neighbor picked up the car, the car owner forgot to tell him about the shimmy. The neighbor was driving the car at a reasonable rate of speed within the posted speed limit when the car began to swerve across the road. The neighbor turned the steering wheel in an attempt to stay on the road. The steering failed, however, and the car veered off the road and onto the sidewalk. The car struck a pedestrian who was injured in the collision. If the pedestrian initiates suit against the owner of the car, the pedestrian will most likely?","prevail, because the car owner knew the steering was faulty and failed to tell his neighbor who borrowed the car. .","prevail, because the car owner knew the steering was faulty and failed to tell his neighbor who borrowed the car. .","prevail, because the car owner is strictly liable under the circumstances. .; not prevail, because the faulty steering was the cause-in-fact of the pedestrian's harm. .; not prevail, because the car owner was a gratuitous lender. ."
MMLU,professional_law,In which situation would a Defendant not be held to the standard of care of a reasonable person?,"Defendant is deaf, and is accused of being negligent in failing to heed a warning bell.","Defendant is deaf, and is accused of being negligent in failing to heed a warning bell.",Defendant has poor judgment.; Defendant is hot-tempered and damaged property in a tantrum.; Defendant has an I.Q. of 85.
MMLU,professional_law,"Late one night, a defendant and a man broke into a jewelry store. As they were looting the store, the owner, who lived across the street, looked out his window and saw additional lights on in the store. The owner ran across the street to his store. Before he arrived, however, the defendant became scared and left the store through a back entrance. When the owner entered the store, the other man hid behind a display counter. As the owner walked toward the cash register, he discovered the man in a crouched position. Startled, the man pulled out a knife and stabbed the owner to death. In this jurisdiction, the applicable burglary statute includes all buildings. If he is subsequently arrested and charged with murder, can the defendant be found guilty?","Yes, provided that he is also found guilty of burglary. .","Yes, provided that he is also found guilty of burglary. .","No, because the killing was unintentional. .; No, because he had renounced his participation in the burglary before the killing. .; No, because the owner's death was not a foreseeable consequence of the burglary. ."
MMLU,professional_law,"A husband and a wife were chronic alcoholics. One afternoon, the husband drank a fifth of bourbon and was drunk when his wife returned home from work. When the wife saw her husband's condition, she got very angry because they had planned to go out to dinner and celebrate their wedding anniversary. While the husband was passed out on the living room couch, the wife decided to fix herself a martini. After drinking two martinis, the wife became extremely inebriated. A short while later, the wife began preparing a third martini and tried to slice a lemon for the drink. As she did so, the knife slipped, and she cut her hand severely. With blood gushing from the wound, the wife called her husband to help her. He awoke momentarily, stood up, but fell back on the couch and passed out. He failed to render any assistance, and the wife bled to death. If the husband is subsequently charged with manslaughter, he will be found?","not guilty, because he was physically unable to assist her. .","not guilty, because he was physically unable to assist her. .","guilty, because he owed his wife a duty to assist her. .; guilty, because criminal negligent conduct cannot be negated by voluntary intoxication. .; not guilty, because the wife caused her own injury. ."
